MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
4,46.0,S21,0,0,15.70,6,10,15,15,59.73,57.46,15.8,16.4,100.70,619.72,720.42,720.42,31.24,571.01,602.25,602.25,131.94,1190.73,1322.67,1322.67,4.0,4.0,4.0,376.80,628.00,1004.80,24.0,40.0,64.0
4,47.0,S213,0,0,31.70,6,10,30,30,120.62,118.60,15.8,16.0,56.92,1036.35,1093.27,1093.27,18.39,771.47,789.86,789.86,75.31,1807.82,1883.13,1883.13,5.0,4.0,5.0,380.40,634.00,1014.40,30.0,40.0,70.0
4,48.0,S217,0,1,30.18,6,10,15,15,99.22,95.90,18.3,18.9,81.08,907.65,988.73,988.73,19.62,831.61,851.23,851.23,100.70,1739.26,1839.96,1839.96,7.0,7.0,7.0,724.32,1207.20,1931.50,42.0,70.0,112.0
4,49.0,S218,0,0,13.82,6,10,30,30,49.90,48.90,16.6,17.0,17.07,165.48,182.55,182.55,6.97,131.79,138.76,138.76,24.04,297.27,321.31,321.31,2.0,2.0,2.0,165.84,276.40,442.24,12.0,20.0,32.0
4,50.0,S220,0,0,33.06,6,10,15,15,121.40,118.35,16.3,16.8,572.19,1143.54,1715.73,1715.73,188.64,1139.64,1328.28,1328.28,760.83,2283.18,3044.01,3044.01,9.0,8.0,9.0,793.44,1322.40,2115.80,54.0,80.0,134.0
4,51.0,S223,0,0,26.62,6,10,30,60,89.72,86.81,17.8,18.4,35.75,488.75,524.50,524.50,11.56,286.75,298.31,298.31,47.31,775.50,822.81,822.81,3.0,2.0,3.0,319.44,266.20,585.64,18.0,20.0,38.0
4,52.0,S227,0,0,13.22,6,10,30,60,42.51,40.42,18.7,19.6,6.10,172.85,178.95,178.95,2.20,106.89,109.09,109.09,8.30,279.74,288.04,288.04,2.0,1.0,2.0,158.64,132.20,290.84,12.0,10.0,22.0
4,53.0,S232,0,0,15.18,6,10,30,60,51.99,49.67,17.5,18.3,4.43,152.50,156.93,156.93,1.68,112.12,113.80,113.81,6.11,264.62,270.73,270.74,2.0,1.0,2.0,182.16,151.80,333.96,12.0,10.0,22.0
4,54.0,S240,0,0,24.14,6,10,30,30,83.18,83.01,17.4,17.4,56.20,300.74,356.94,356.94,5.74,203.92,209.66,209.66,61.94,504.66,566.60,566.60,3.0,3.0,3.0,289.68,482.80,772.48,18.0,30.0,48.0
4,55.0,S248,0,0,29.12,6,10,30,60,93.73,91.48,18.6,19.1,5.56,282.18,287.74,287.73,2.09,295.80,297.89,297.89,7.65,577.98,585.63,585.62,4.0,2.0,4.0,349.44,291.20,640.64,24.0,20.0,44.0
4,56.0,S3,0,1,11.07,6,10,30,30,45.70,44.72,14.5,14.9,50.88,300.50,351.38,351.39,21.67,306.74,328.41,328.41,72.55,607.24,679.79,679.80,2.0,2.0,2.0,132.84,221.40,354.24,12.0,20.0,32.0
4,57.0,S307X,0,1,16.35,6,10,47,0,56.85,54.43,17.3,18.0,35.99,266.86,302.85,302.85,0.00,0.00,0.00,0.00,35.99,266.86,302.85,302.85,2.0,0.0,2.0,125.23,0.00,125.23,12.0,0.0,12.0
4,58.0,S313X,0,1,22.69,6,10,30,0,61.28,55.21,22.2,24.7,37.61,255.10,292.71,292.71,0.00,0.00,0.00,0.00,37.61,255.10,292.71,292.71,3.0,0.0,3.0,272.28,0.00,272.28,18.0,0.0,18.0
4,59.0,S320X,0,1,15.67,6,10,30,0,56.16,52.06,16.7,18.1,29.04,157.58,186.62,186.62,0.00,0.00,0.00,0.00,29.04,157.58,186.62,186.62,2.0,0.0,2.0,188.04,0.00,188.04,12.0,0.0,12.0
4,60.0,S33,0,0,22.06,6,10,15,15,73.26,73.12,18.1,18.1,46.25,713.32,759.57,759.57,22.62,718.69,741.31,741.31,68.87,1432.01,1500.88,1500.88,5.0,5.0,5.0,529.44,882.40,1411.80,30.0,50.0,80.0
4,61.0,S35,0,0,20.70,6,10,30,30,66.20,65.01,18.8,19.1,6.62,62.72,69.34,69.34,3.61,79.33,82.94,82.94,10.23,142.05,152.28,152.28,3.0,3.0,3.0,248.40,414.00,662.40,18.0,30.0,48.0
4,62.0,S354X,0,1,19.11,6,10,30,0,64.26,58.92,17.8,19.5,44.53,179.74,224.27,224.27,0.00,0.00,0.00,0.00,44.53,179.74,224.27,224.27,3.0,0.0,3.0,229.32,0.00,229.32,18.0,0.0,18.0
4,63.0,S39,0,0,22.92,6,10,15,15,79.08,78.47,17.4,17.5,91.67,838.38,930.05,930.05,12.77,631.68,644.45,644.45,104.44,1470.06,1574.50,1574.50,6.0,6.0,6.0,550.08,916.80,1466.90,36.0,60.0,96.0
4,64.0,S4,0,1,23.85,6,10,30,30,83.14,80.58,17.2,17.8,12.38,875.51,887.89,887.89,11.08,889.22,900.30,900.30,23.46,1764.73,1788.19,1788.19,3.0,3.0,3.0,286.20,477.00,763.20,18.0,30.0,48.0
4,65.0,S41,0,0,9.14,6,10,15,15,28.95,27.42,18.9,20.0,1.48,141.07,142.55,142.55,1.20,126.47,127.67,127.67,2.68,267.54,270.22,270.22,2.0,2.0,2.0,219.36,365.60,584.96,12.0,20.0,32.0
4,66.0,S45,0,0,16.22,6,10,15,15,53.11,52.92,18.3,18.4,64.16,361.36,425.52,425.52,26.77,383.79,410.56,410.56,90.93,745.15,836.08,836.08,4.0,4.0,4.0,389.28,648.80,1038.10,24.0,40.0,64.0
4,67.0,S454,0,1,24.62,6,10,30,0,48.90,49.78,30.2,29.7,42.60,57.25,99.85,99.85,0.00,0.00,0.00,0.00,42.60,57.25,99.85,99.85,2.0,0.0,2.0,295.44,0.00,295.44,12.0,0.0,12.0
4,68.0,S455,0,1,88.92,6,10,35,55,290.94,270.65,18.3,19.7,195.82,1370.23,1566.05,1566.05,67.64,1085.04,1152.68,1152.68,263.46,2455.27,2718.73,2718.73,9.0,5.0,9.0,914.61,970.04,1884.60,54.0,50.0,104.0
4,69.0,S463,0,1,13.74,6,10,30,0,54.13,48.96,15.2,16.8,13.15,130.23,143.38,143.38,0.00,0.00,0.00,0.00,13.15,130.23,143.38,143.38,2.0,0.0,2.0,164.88,0.00,164.88,12.0,0.0,12.0
4,70.0,S47,0,0,18.76,6,10,15,15,63.84,62.50,17.6,18.0,206.38,542.18,748.56,748.56,21.75,388.95,410.70,410.70,228.13,931.13,1159.26,1159.26,5.0,5.0,5.0,450.24,750.40,1200.60,30.0,50.0,80.0
4,71.0,S470,0,1,82.66,6,10,20,30,278.17,266.57,17.8,18.6,68.89,1124.93,1193.82,1193.82,35.09,1192.82,1227.91,1227.91,103.98,2317.75,2421.73,2421.73,14.0,9.0,14.0,1487.90,1653.20,3141.10,84.0,90.0,174.0
4,72.0,S471,0,1,13.26,6,10,40,0,48.87,42.34,16.3,18.8,0.05,205.46,205.51,205.51,0.00,0.00,0.00,0.00,0.05,205.46,205.51,205.51,2.0,0.0,2.0,119.34,0.00,119.34,12.0,0.0,12.0
4,73.0,S509,0,0,25.18,6,10,30,30,95.85,92.81,15.8,16.3,67.29,270.40,337.69,337.69,31.24,408.15,439.39,439.39,98.53,678.55,777.08,777.08,4.0,4.0,4.0,302.16,503.60,805.76,24.0,40.0,64.0
4,74.0,S513,0,0,32.02,6,10,30,0,122.00,119.00,15.7,16.1,60.22,341.80,402.02,402.02,0.00,0.00,0.00,0.00,60.22,341.80,402.02,402.02,5.0,0.0,5.0,384.24,0.00,384.24,30.0,0.0,30.0
4,75.0,S519/520,0,1,4.88,6,10,30,30,18.19,18.43,16.1,15.9,13.37,34.19,47.56,47.56,5.95,49.20,55.15,55.15,19.32,83.39,102.71,102.71,1.0,1.0,1.0,58.56,97.60,156.16,6.0,10.0,16.0
